,words,clues
191,LAC,"Fond du ___, Wis."
192,INKLING,Faintest idea
193,OCEANIA,Easter Island locale
194,SERBIAN,Belgrade native
195,GLOP,Unappetizing food that might be served with a ladle
196,SHAG,Carpet variety
197,OBSESSES,"Thinks, thinks, thinks (about)"
198,BBS,Small ammo
199,WHOA,Command spoken while pulling the reins
200,RUGRATS,Rambunctious little kids
201,FOOTRACE,"200- or 400-meter run, e.g."
202,SRA,Madrid Mrs.
203,FGS,N.F.L. three-pointers: Abbr.
204,BOT,Droid
205,UPS,Alternative to FedEx
206,CLOT,"Thicken, as blood"
207,CDRACKS,Holders of some music collections
208,RAINHAT,Headgear for a drizzly day
209,IMAGERY,Descriptive language
210,IRKSOME,Annoying
211,BEESWAX,Honeycomb product
212,SST,"Retired jet, for short"
213,GULL,Shorebird with a distinctive shriek
214,PARROT,Caged talker
215,DABS,Painters' touches
216,JPEGS,Some computer picture files
217,BYTE,Memory unit
218,VAL,"Kilmer of ""Top Gun"""
219,ASP,Nile viper
220,ZEE,Middle of Arizona?
221,LOT,Auction grouping
222,XRAYS,Set of pictures at a dentist's
223,CAW,Crow's sound
224,LETUPS,Reprieves
225,MIXER,Event for meeting new people
226,AMO,"""I love,"" to Cato"
227,UTOPIA,Perfect world
228,ALLSIKNOW,"""The one thing that's clear to me ..."""
229,CHOSEN,Picked
230,SEEM,Appear
231,NON,"""Smoking or ___?"""
232,TKOS,"Boxing achievements, in brief"
233,ALONGWAYSOFF,Distant
234,STRAIT,Narrow water passage
235,ANY,"""___ day now ..."""
236,OLAF,Villainous count in the Lemony Snicket books
237,TRUMP,Obama's successor
238,ARGO,Jason's ship
239,NAIL,Pull off perfectly
240,EON,Many millennia
241,STAKEOUT,"Police operation ... or, when read another way, what a grammarian would like to do to 18-, 24-, 52- and 65-Across?"
242,GLO,Day-___ paint
243,MISO,Japanese soup
244,OARS,Boaters' implements
245,OBOES,Some woodwinds
246,SKID,Lose traction on the road
247,PHO,Vietnamese soup
248,TRENDS,"What Google's Ngram program tracks, for word usage"
249,ANDTHENISAYS,Narrative connector
250,SEED,Peach pit or walnut
251,HOG,Greedy one
252,TREE,Peach or walnut
253,HAVANA,Cuba's capital
254,HOWSABOUT,"""What do you think of ...?"""
255,IMPROV,"Unscripted comedy, informally"
256,APE,Mimic
257,GUARD,Watch over
258,MISERY,Blue state?
259,LED,"Fluorescent bulb alternative, for short"
260,TYROS,Novices
261,XMAS,Dec. celebration
262,RILE,Tick off
263,AXLE,What car wheels turn on
264,YESMAAM,Polite affirmative
265,SRI,___ Lanka
266,CANON,Group of books that an educated person is supposed to be familiar with
267,AMONG,In the company of
268,WOW,Blow away
269,LUCKYYOU,Jealous words of congratulations
270,ETHOS,Cultural spirit
271,TOOSOON,"""You can't joke about that yet"""
272,UPS,FedEx rival
273,PIE,Thanksgiving dessert
274,SAN,"___ Juan, Puerto Rico"
275,KNOT,Problem with a shoelace
276,TANGO,Dance in which one partner might hold a rose between his teeth
277,LIPS,One might apply gloss to them
278,WARES,Things for sale
279,FLAGON,Old-fashioned wine holder
280,FAILED,Unsuccessful
281,STEMS,Thorny parts of roses
282,TROIKA,Group of three
283,RUNSIN,Enters hurriedly
284,FLOSS,Often-unheeded advice from dentists
285,AKRON,Ohio city that was once the Rubber Capital of the World
286,TOPHEAVY,"Liable to tip over, maybe"
287,AAHED,Expressed amazement
288,TORY,"Labourite's opponent, in British politics"
289,ODDSARE,"""Most likely ..."""
290,BESTBUY,Big electronics chain
291,TAGS,License plates
292,TENOR,Choir member
293,IHOPE,"""Fingers crossed!"""
294,SOWED,"Planted, as discord"
295,ROAR,Sound to fear in the savanna
296,EURO,Currency of France or Italy
297,ETDS,"When planes are due to take off, for short"
298,HIM,That guy
299,AMI,"""What ___, chopped liver?"""
300,VPS,"Biden and Pence, in brief"
301,HAL,Actor Holbrook
302,AGT,10%-er: Abbr.
303,SWAP,Even trade
304,CROC,"Nile predator, briefly"
305,DRAMA,Class with masks?
306,HEIR,Next in line
307,OATH,Promise
308,EULER,18th-century mathematician who introduced the function
309,ALDO,Designer Gucci
310,NITE,Nick at ___
311,ADELE,One-named singer who won the 2016 Album of the Year
312,GLENNCLOSELY,"""Sorry I'm in your space, it's an actress thing,"" said ___"
313,TEE,"Shirt that might have a crew neck, informally"
314,TAM,Scottish cap
315,EAP,"""The Raven"" writer's monogram"
316,HOWARDSTERNLY,"""Don't interrupt me on my radio show,"" said ___"
317,PSA,"""It gets better"" spot, e.g., in brief"
318,LEO,"DiCaprio, to fans"
319,INTER,Prefix with galactic and spatial
320,EARNS,Works to get
321,GNU,Lion's prey
322,NAIVE,Easily fooled
323,STRIP,Unit of bacon
324,ONO,Lennon's widow
325,TEX,___-Mex
326,TAYLORSWIFTLY,"""Gotta run, pop concert calls,"" said ___"
327,ONS,Turn-___
328,RIP,Gravestone letters
329,FAA,Govt. org. with a drone registry program
330,JAMESBLUNTLY,"""Right to the point: You're beautiful, it's true,"" said ___"
331,URGED,Advocated
332,CHAI,Tea type
333,DREI,"Three, in Berlin"
334,SAUDI,Mecca resident
335,KILN,Drying oven
336,REAP,"Harvest, as crops"
337,CYNIC,"""A man who, when he smells flowers, looks around for a coffin,"" per H. L. Mencken"
338,SAKE,Rice wine
339,YENS,Longings
340,SHAG,Carpet style
341,WELL,"Word said three times before ""What have we here?!"""
342,AIDE,Assistant
343,PRONTO,On the double
344,CONCEAL,Hide
345,RAIL,Inner part of a racetrack
346,OTTO,Palindromic boy's name
347,CHESTS,Treasure holders
348,DEALMEIN,Request for a hand
349,RUDY,Inspiring 1993 movie about a Notre Dame football team walk-on
350,ALE,Lager relative
351,MEL,Comical Brooks
352,ARE,"""All we ___ saying is give peace a chance"""
353,NEW,Just-made
354,EAT,Munch on
355,ENTITY,Thing that exists
356,ALEVE,Drug whose generic name is naproxen
357,PYREX,Measuring cup material
358,HARRYS,Truman and others
359,REG,Rule laid down by a commission: Abbr.
360,DONOW,"""What should I ___?"""
361,RNA,Material in strands
362,PESTO,Sauce with pine nuts
363,SATAN,The Great Tempter
364,NIL,"Zero, in soccer"
365,SPORADIC,Occasional
366,UNI,Prefix with -versal
367,OFFLINE,Not connected to a computer network
368,RIM,Pacific ___
369,SPECKS,What stars are in the night sky
370,TAU,Letter after sigma
371,LANDRY,Tom who coached the Dallas Cowboys for 29 years
372,JEDI,"Revered ""Star Wars"" figure"
373,SHIA,Actor LaBeouf
374,BALK,Illegal pitching motion
375,TREE,Logician's chart
376,LEAN,Not stand completely straight
377,YIPS,"Nervousness that causes a golfer to miss an easy putt, with ""the"""
378,USC,Golden State sch.
379,RAY,"With 62-Down, sci-fi weapon"
380,GUN,See 61-Down
381,PSAS,"""Don't text and drive"" spots, e.g., for short"
382,MAV,"Dallas pro, informally"
383,JAMS,"Extemporizes, in a way"
384,CIARA,"R&B artist with the 2004 hit ""1, 2 Step"""
385,AVE,"Manhattan's Park, e.g.: Abbr."
386,OPALS,Shimmery stones
387,HEFTY,Substantial
388,GIG,Band's booking
389,GETIT,"""Make sense?"""
390,ACES,"First-class, in slang"
391,MIDAS,Gilt-y party?
392,DECO,Retro skyscraper style
393,REF,"Sports monitor, for short"
394,NIC,"Actor Cage, to friends"
395,NHL,Org. that penalizes icing
396,FEM,Like the yin side: Abbr.
397,TOOREAL,Uncomfortably close to home
398,PHOTOOP,Flashy event?
399,FRET,Brood
400,ALI,"He said ""If you even dream of beating me, you'd better wake up and apologize"""
401,WORF,"""Star Trek: T.N.G."" Klingon"
402,WORK,One half of a 55-Across
403,MIZ,"""Les ___"""
404,LIFE,The other half of a 55-Across
405,PEZ,Candy sold in stacked bricks
406,BBCNEWS,Airer of many public affairs programmes
407,ASYOUDO,"Naturally, in Britspeak"
408,AROUSE,Spark
409,CURSED,Gave a damn?
410,WORKLIFEBALANCE,Challenge in a demanding job ... or a feature of this puzzle?
411,LONE,Single
412,GOGOL,"""Dead Souls"" author Nikolai"
413,LAOS,Neighbor of Myanmar
414,EKED,"Narrowly made, with ""out"""
415,HUGME,Message on a candy heart
416,BVDS,Some briefs
417,DEA,"Government org. featured on ""Narcos"""
418,SLOBS,Grubby group
419,YEA,Positive feedback
420,PIECEOFWORK,Unpleasant sort
421,SAFEFORWORK,"Office-friendly, to YouTubers"
422,ARTS,"Music and theater, e.g."
423,SAY,"""Here's a thought ..."""
424,MAGICLAMPS,Things from which genii are summoned
425,AVID,Passionate
426,VEGANPIZZA,"Pie made with dairy-free cheese, maybe"
427,JOG,"Brief, abrupt change in direction"
428,APED,Made an impression?
429,MATEFORLIFE,"Have an unchanging, monogamous relationship"
430,SLICEOFLIFE,Peek into the everyday
431,CHART,Put on the map
432,STOMP,Tread not so lightly
433,MIA,"Unaccounted for, for short"
434,SHH,"""Put a cork in it!"""
435,NETWORK,"Exchange business cards, maybe"
436,LOWLIFE,Good-for-nothing
437,REWORK,Overhaul
438,TOLIFE,"""L'chaim!"""
439,LIE,Bit of fake news
440,BAWLED,"Broke down, in a way"
441,BROOKE,"Edward ___, first popularly elected African-American U.S. senator (Massachusetts, 1967-79)"
442,CORNEA,You can see right through it
443,NUKED,"Reheated, in a way"
444,ESL,Immigrant's class: Abbr.
445,WEIGHS,Puts on the 47-Down
446,SCALES,What some black squares in this grid represent
447,YUL,"Brynner of ""The Magnificent Seven"""
448,ORALB,Dental care brand
449,USNAVY,Org. for Carter and Bush Sr. before they became presidents
450,DECODE,Puzzle out
451,ODESSA,Texas oil city
452,FOUL,Cry ___
453,EGGO,Frozen food brand with French Toaster Sticks
454,BOMB,Fail ignominiously
455,ATTY,Lawyer: Abbr.
456,JAG,"British sports car, briefly"
457,BLISS,"What ignorance is, they say"
458,PROOF,"One might end ""Q.E.D."""
459,ERA,"A pitcher wants a low one, for short"
460,ROGUE,"""___ One: A Star Wars Story"""
461,BERMUDATRIANGLE,Atlantic site of strange disappearances
462,KEATON,Michael who played both Batman and Birdman
463,GPS,"Aid for a lost driver, for short"
464,YUK,Big laugh
465,MIG,Russian jet
466,BLAIR,Former British P.M. Tony
467,FINALSALE,"""As is"" transaction"
468,ZAPPA,Frank of the Mothers of Invention
469,ENE,WSW's opposite
470,ELLA,Jazzy Fitzgerald
471,TETRAS,Colorful aquarium swimmers
472,MARK,"""___ my words"""
473,EARTH,You are here
474,SANK,Didn't float
475,UNDEAD,Like zombies
476,NOID,Cause for being refused a drink at a bar
477,DIM,Opposite of bright
478,REYES,Four-time M.L.B. All-Star José
479,TENNISACE,Excellent service
480,PITHY,Terse
481,AAH,"""That feels so-o-o-o nice!"""
482,OCT,Halloween's mo.
483,AWE,Amazement
484,DILUTE,Water down
485,POINTOFNORETURN,"Punny description for 17-, 26- or 48-Across"
486,ENNUI,Boredom
487,EAT,Sup
488,RUBIO,Florida senator Marco
489,NSYNC,"Band with the 2000 hit ""Bye Bye Bye"""
490,DYE,Just for Men offering
491,PACT,Treaty
492,APB,"Alert to squad cars, for short"
493,TREK,Arduous walk
494,TORE,Ripped
495,YOMAMA,Start of a playground joke
496,JEAN,Denim fabric
497,ART,"Trump's ""The ___ of the Deal"""
498,GARGLE,"Use Listerine, say"
499,BRASIZE,Victoria's Secret measurement
500,LON,Chaney of horror
501,IGGY,Azalea of rap
502,SULU,Lieutenant on the original U.S.S. Enterprise
503,SEEK,"""___ and ye shall find"""
504,FUTILE,Hopeless
505,DOGSLED,Iditarod vehicle
506,IPA,"Hoppy brew, for short"
507,BLARNEY,"Nonsense, as the Irish might say"
508,RATS,"""Darn!"""
509,FEMUR,Leg bone connected to the knee bone
510,INANE,Stupid
511,NERDY,"Passionately brainy, say"
512,ALA,Chicken ___ king
513,PRADA,Fashion house founded in Milan
514,PANIC,Emotion causing hyperventilation
515,ASKME,"""___ Another"" (NPR game show)"
516,THINAIR,It's in the stratosphere
517,KEEP,Hold on to
518,TON,Weight unit on a bridge sign
519,ASIATIC,From east of the Urals
520,DIALER,One placing a telephone call
521,THEFED,"Organization for Janet Yellen, informally"
522,SHUTUP,"""Button your lip!"""
523,TWO,Tango requirement
524,OPEN,Store sign that might be flipped at 9 a.m.
525,CONS,Inmates
526,TINY,Wee
527,DOTE,Lavish care (on)
528,TUBA,Instrument that makes the cheeks puff out
529,ERIC,"Clapton who sang ""Layla"""
530,NUN,Habit wearer
531,NAY,"""No"" vote"
532,NOT,"""Just kidding!"""
533,ITCHY,Needing scratching
534,BLOC,"OPEC, e.g."
535,IDLE,Lay off
536,RELEE,J. E. B. Stuart's superior in the Civil War
537,RANI,Indian royal
538,MEAD,"""Honey wine"""
539,ELECTRICENGINES,Things that power Teslas
540,FLAK,"Criticism, informally"
541,ODE,Laudatory piece
542,ENTIRE,In one piece
543,USN,SEAL's org.
544,TAG,Recess game
545,ARA,"Rudy's coach in ""Rudy"""
546,ATL,N.L. East city
547,LOSTONESMARBLES,Went bonkers
548,NEIN,Teutonic turndown
549,AIM,Sharpshooter's asset
550,ESS,Snaky character
551,MIDDLEAGE,"Crisis time, for some ... or a hint to each of the circled words"
552,OBE,It's an honour: Abbr.
553,EOS,Camera named for a goddess
554,MCML,Year the Korean War began
555,ADIRONDACKCHAIR,Lakeside furniture item
556,POS,+: Abbr.
557,POO,Cock-a-___ (dog breed)
558,RAS,Dorm V.I.P.s
559,CEO,"Board hiree, for short"
560,ERESTU,1974 hit with Spanish lyrics
561,SEN,"Joe Biden, for 36 yrs."
562,GASP,[OMG!]
563,MACHINEWASHABLE,Label rarely seen on silk garments
564,ANTE,Prelude to a deal
565,CLAM,Simoleon
566,ERROR,"Typo, e.g."
567,NTSB,Crash-probing agcy.
568,ESPY,Glimpse
569,SPEWS,Gushes
570,IREFUL,Really angry
571,TELLSON,"Gets in trouble, in a way"
572,CLEANSE,"Detox, say"
573,HECK,"""Darn it!"""
574,YET,Thus far
575,BRIDGE,Game for dummies?
576,LACE,"Spike, as punch"
577,ONE,Admit ___
578,CINERAMA,Wide-screen movie format
579,IMIT,"Words heard in 24-Across, maybe"
580,DENIALS,"""'Twasn't me"" and others"
581,LAERTES,Hamlet's killer
582,EDSELS,"1950s autos with ""horse collar"" grilles"
583,ROAN,Leather often treated to look like morocco
584,GNAR,Make a snarling sound
585,TONI,Literature Nobelist Morrison
586,AMIE,"Female pen pal, maybe"
587,TIMER,Oven feature
588,SALSA,"A dance, or a dip"
589,BEECH,Tree with triangular nuts
590,DENOUNCE,Censure publicly
591,DODO,Dim bulb
592,GMCS,Sierra and Acadia vehicles
593,ODORANT,Aromatic additive to natural gas
594,BISECTS,Splits in half
595,MACABRE,Like many Poe tales
596,LIESLOW,Stays under the radar
597,APEMAN,So-called missing link
598,OPTI,___-Free (contact lens solution)
599,CREAMY,Peanut butter choice
600,KANS,Jayhawks' home: Abbr.
601,ROPERS,Dogie catchers
602,SHEB,"Wooley who sang ""The Purple People Eater"""
603,SWAP,Exchange
604,GARP,John Irving title hero
605,ELS,C.T.A. transports
606,HES,Fathers and sons
607,SPA,Place known for pampering
608,ESTO,Idaho motto word
609,DEBRA,"Winger of ""Shadowlands"""
610,HUTS,Dwellings for castaways
611,SHIA,Muslim minority
612,IDLES,Doesn't do anything
613,OSTEOPATH,Muscle maneuverer
614,SKUNK,Bad-smelling animal
615,WHATFAMOUSPOET,Start of a question is ...
616,NYC,SoHo's metropolis
617,UNA,"A, in Iberia"
618,LUC,Ice hockey's Robitaille
619,HASANAMETHATS,More of the question is ...
620,THERE,Starter of limericks
621,COPE,Handle adversity
622,RUE,Feel some repentance for
623,AIDE,Paraprofessional
624,TAROT,Deck with a Justice card
625,LGBT,Letters for Out readers
626,TNT,Blasting material
627,TAXI,Rainy day rarity
628,SAYAH,Checkup imperative
629,ADOUBLEDACTYL,End of the question is ...
630,NIL,"Zero, in soccer scores"
631,RAE,Issa of comedy
632,EVA,Youngest Gabor sister
633,EMILYDICKINSON,Here's what the answer is ...
634,HAITI,Country with voodooists
635,USAINBOLT,Fastest Olympian
636,ESSES,Cornering challenges
637,MEDE,Ancient Iranian
638,ACTS,Emulates Nicholson
639,MESSI,Argentine footballer
640,PEER,One in a jury box
641,KAY,"Wife in ""The Godfather"""
642,SHOWN,Proven as accurate
643,PUSHY,Brash and belligerent
644,ATTACHEDTO,Really quite taken with
645,ESPANA,AndalucÃ­a's land
646,SHAMAN,Medical sorcerer
647,TITO,Yugoslav dictator
648,OAHU,Island with Diamond Head
649,DISPUTE,Quarrel or fight about
650,EDKOCH,"""How'm I doin'?"" pol"
651,BLUE,Color like indigo
652,RENT,Payment for tenancy
653,ASK,Pose in an interview
654,SET,Part of a tennis match
655,OFUSE,Having a benefit
656,SLEPT,Conquered insomnia
657,ARE,"Make, in arithmetic"
658,ACRID,Pungently odorous
659,MOO,Sound from a meadowland
660,ARGYLESOCK,Footwear with lozenges
661,TUBA,Oompah-pah instrument
662,SETH,Thomas the clockmaker
663,TATA,"""Toodles,"" in Twickenham"
664,HIND,In the posterior
665,TALLY,Total for scorekeepers
666,AXE,Tool for a lumberjack
667,LAY,Troubadour offering
668,TBILISI,Caucasus capital
669,STEIN,Mug in a rathskeller
670,UNITES,Blends or conglomerates
671,ARCADE,Place to play Centipede
672,CAKIER,Having more clumpiness
673,VOLTA,Physics class eponym
674,ANTSY,Nervous and fidgety
675,EASE,Effortless quality
676,MISS,Notice the absence of
677,DUMP,Garbage disposal site
678,ISEE,Words of enlightenment
679,NBA,Org. for the Pelicans
680,HEM,Speak indecisively
681,MOM,Pop fan?
682,DATA,Numbers to crunch
683,MACAU,Asian gambling mecca
684,ANI,Singer DiFranco
685,EWERS,Water pitchers
686,OBOES,Slender woodwinds
687,NEC,Asian electronics giant
688,NGAIO,Mystery writer Marsh
689,TBIRD,Sporty car in a Beach Boys song
690,SIDCAESAR,"*""It's a Mad, Mad, Mad, Mad World"" actor, 1963"
691,ANO,"Year, south of the border"
692,MORALE,A pep talk might boost it
693,LEEJCOBB,"*""12 Angry Men"" actor, 1957"
694,ATOMIZE,Reduce to particles
695,PAYPAL,Online money transfer facilitator
696,NAPE,Scruff of the neck
697,COOED,Made bird noises
698,STY,Pig's digs
699,ORSONBEAN,"*""Anatomy of a Murder"" actor, 1959"
700,AMC,"""Breaking Bad"" network"
701,VENTI,It's a size larger than grande at Starbucks
702,AAHS,Sounds of satisfaction
703,GOOIER,Like a toasted marshmallow vis-à-vis a non-toasted one
704,TANKTOP,Shirt with straps instead of sleeves
705,TOMGREEN,"*""Road Trip"" actor, 2000"
706,PAELLA,Rice-based Spanish dish
707,CPU,"PC ""brain"""
708,SALADDAYS,Youthful time in one's life ... which this puzzle might harken solvers back to?
709,SHOED,Did a smith's job on
710,AMATI,Prized violin
711,NAT,D.C. ballplayer
712,PERSE,In and of itself
713,SENOR,"Mister, south of the border"
714,TRI,Prefix with borough
715,ARTSY,Bohemian
716,SEWS,Puts in stitches
717,AKC,Dog breeder's org.
718,MANSMAN,One admired for his masculinity
719,ONEIOTA,The tiniest bit
720,MICDROP,Gesture to punctuate a great performance
721,DENALI,Highest mountain in North America
722,AWGEEZ,"""What a bummer!"""
723,TEAS,Oolong and Earl Grey
724,ARIAL,Popular typeface
725,MOT,Bon ___ (witticism)
726,ABBACY,Monastic realm
727,COINOPS,Many washers and dryers in apartment buildings
728,AEROBAT,Stunt pilot
729,USD,Amer. money
730,SORE,Peeved
731,CAMEO,Hitchcock role in almost every Hitchcock film
732,EPEE,Sporting sword
733,JADA,Actress ___ Pinkett Smith
734,BLY,Journalist Nellie
735,ECON,"""Micro"" and ""macro"" subject, for short"
736,ONT,Province west of Que.
737,OBIT,Passing mention?
738,RVER,"Winnebago owner, briefly"
739,SERE,Bone-dry
740,NAKED,In the buff
741,AGT,F.B.I. employee: Abbr.
742,MOOCHER,Sponge
743,COMPORT,Behave
744,ATLANTA,1996 Olympics site
745,HOLYARK,It stores a synagogue's Torah scrolls
746,SPASTIC,Moving jerkily
747,IGUESS,"""Um ... O.K."""
748,APATOW,"""Superbad"" producer Judd"
749,NADIRS,Low points
750,ESAS,"Those, to José"
751,NAMES,"April, May and June, for example"
752,LANE,Swimmer's assignment
753,SPA,Where you might hear 44-Across
754,DEY,"Susan of ""L.A. Law"""
755,EVERY,See blurb
756,AAS,Batteries in mice
757,CHIMPS,*Bonzo and others
758,KATIE,She went to Haiti in a Cole Porter song
759,RBI,Ballpark fig.
760,CETERA,Et ___
761,ELTONJOHN,"""The Lion King"" soundtrack composer"
762,RETAIN,Hang on to
763,SEAT,Boarding pass info
764,EMO,Angsty music genre
765,RID,Divest (of)
766,NOD,Gesture that might be made with a wink
767,STARREDENTRY,See blurb
768,AVERSE,Opposed
769,SUREDO,"""And how!"""
770,BEGINS,"*""And so it ___"""
771,DAR,Patriotic women's org.
772,WEBB,Jack who played Sgt. Friday
773,BRAY,Sound like a jackass
774,ISIN,See blurb
775,ARIZ,PHX airport locale: Abbr.
776,ANNA,"Actress Kendrick of ""Pitch Perfect"""
777,CDT,Summer hrs. in Chicago
778,CHINTZ,*Fabric with a cheap-sounding name
779,DNALAB,"""CSI"" workplace"
